classifier_name,dataset_name,accuracy
Disjoint_CNN,ArticularyWordRecognition,0.977777778
Disjoint_CNN,AtrialFibrilation,0.431111111
Disjoint_CNN,BasicMotions,1
Disjoint_CNN,Cricket,0.956481481
Disjoint_CNN,DuckDuckGeese,0.644
Disjoint_CNN,EigenWorms,0.625521628
Disjoint_CNN,Epilepsy,0.965096618
Disjoint_CNN,EthanolConcentration,0.313307985
Disjoint_CNN,ERing,0.950617284
Disjoint_CNN,FaceDetection,0.608617102
Disjoint_CNN,FingerMovements,0.567666667
Disjoint_CNN,HandMovementDirection,0.346396396
Disjoint_CNN,Handwriting,0.353377255
Disjoint_CNN,Heartbeat,0.722796748
Disjoint_CNN,Libras,0.957777778
Disjoint_CNN,LSST,0.501013788
Disjoint_CNN,MotorImagery,0.54
Disjoint_CNN,NATOPS,0.971851852
Disjoint_CNN,PenDigits,0.995578426
Disjoint_CNN,PEMS-SF,0.845472062
Disjoint_CNN,Phoneme,0.258961129
Disjoint_CNN,RacketSports,0.857236842
Disjoint_CNN,SelfRegulationSCP1,0.900341297
Disjoint_CNN,SelfRegulationSCP2,0.538888889
Disjoint_CNN,StandWalkJump,0.504444444
Disjoint_CNN,UWaveGestureLibrary,0.9075
Rocket,ArticularyWordRecognition,0.995555556
Rocket,AtrialFibrilation,0.248888889
Rocket,BasicMotions,0.99
Rocket,Cricket,1
Rocket,DuckDuckGeese,0.596
Rocket,EigenWorms,0.906870229
Rocket,Epilepsy,0.990821256
Rocket,EthanolConcentration,0.446768061
Rocket,ERing,0.980493827
Rocket,FaceDetection,0.639784336
Rocket,FingerMovements,0.552666667
Rocket,HandMovementDirection,0.445945946
Rocket,Handwriting,0.566666667
Rocket,Heartbeat,0.717560976
Rocket,Libras,0.906111111
Rocket,LSST,0.63153555
Rocket,MotorImagery,0.492
Rocket,NATOPS,0.88537037
Rocket,PenDigits,0.981646655
Rocket,PEMS-SF,0.749132948
Rocket,Phoneme,0.310647182
Rocket,RacketSports,0.914473684
Rocket,SelfRegulationSCP1,0.86552901
Rocket,SelfRegulationSCP2,0.503333333
Rocket,StandWalkJump,0.455555556
Rocket,UWaveGestureLibrary,0.936875
IT,ArticularyWordRecognition,0.991
IT,AtrialFibrilation,0.22
IT,BasicMotions,1
IT,Cricket,0.994444
IT,DuckDuckGeese,0.634667
IT,EigenWorms,0.196946565
IT,Epilepsy,0.986473
IT,EthanolConcentration,0.279214
IT,ERing,0.920988
IT,FaceDetection,0.772361
IT,FingerMovements,0.561333
IT,HandMovementDirection,0.423874
IT,Handwriting,0.657373
IT,Heartbeat,0.732033
IT,Libras,0.887222
IT,LSST,0.339686
IT,MotorImagery,0.511667
IT,NATOPS,0.966296
IT,PenDigits,0.996827
IT,PEMS-SF,0.828324
IT,Phoneme,0.367422
IT,RacketSports,0.916886
IT,SelfRegulationSCP1,0.846871
IT,SelfRegulationSCP2,0.52037
IT,StandWalkJump,0.42
IT,UWaveGestureLibrary,0.912292
ResNet,ArticularyWordRecognition,0.982556
ResNet,AtrialFibrilation,0.362222
ResNet,BasicMotions,1
ResNet,Cricket,0.993981
ResNet,DuckDuckGeese,0.632
ResNet,EigenWorms,0.454453
ResNet,Epilepsy,0.991787
ResNet,EthanolConcentration,0.286185
ResNet,ERing,0.871852
ResNet,FaceDetection,0.629711
ResNet,FingerMovements,0.547
ResNet,HandMovementDirection,0.353153
ResNet,Handwriting,0.597843
ResNet,Heartbeat,0.638862
ResNet,Libras,0.941111
ResNet,LSST,0.429359
ResNet,MotorImagery,0.497667
ResNet,NATOPS,0.971111
ResNet,PenDigits,0.996446
ResNet,PEMS-SF,0.819461
ResNet,Phoneme,0.308599
ResNet,RacketSports,0.912281
ResNet,SelfRegulationSCP1,0.761092
ResNet,SelfRegulationSCP2,0.502407
ResNet,StandWalkJump,0.308889
ResNet,UWaveGestureLibrary,0.883542
TapNet,ArticularyWordRecognition,0.971333
TapNet,AtrialFibrilation,0.302222
TapNet,BasicMotions,0.991667
TapNet,Cricket,0.975
TapNet,DuckDuckGeese,0.582667
TapNet,EigenWorms,0.21
TapNet,Epilepsy,0.96087
TapNet,EthanolConcentration,0.289861
TapNet,ERing,0.894568
TapNet,FaceDetection,0.528698
TapNet,FingerMovements,0.513333
TapNet,HandMovementDirection,0.323423
TapNet,Handwriting,0.329529
TapNet,Heartbeat,0.739675
TapNet,Libras,0.836296
TapNet,LSST,0.463314
TapNet,MotorImagery,0.59
TapNet,NATOPS,0.902963
TapNet,PenDigits,0.936507
TapNet,PEMS-SF,0.7921
TapNet,Phoneme,0.175
TapNet,RacketSports,0.858114
TapNet,SelfRegulationSCP1,0.854
TapNet,SelfRegulationSCP2,0.53463
TapNet,StandWalkJump,0.351111
TapNet,UWaveGestureLibrary,0.883854
DTW_D,ArticularyWordRecognition,0.988667
DTW_D,AtrialFibrilation,0.235556
DTW_D,BasicMotions,0.9525
DTW_D,Cricket,1
DTW_D,DuckDuckGeese,0.492
DTW_D,EigenWorms,0.645802
DTW_D,Epilepsy,0.963043
DTW_D,EthanolConcentration,0.301521
DTW_D,ERing,0.929136
DTW_D,FaceDetection,0.532785
DTW_D,FingerMovements,0.541667
DTW_D,HandMovementDirection,0.303153
DTW_D,Handwriting,0.612078
DTW_D,Heartbeat,0.68878
DTW_D,Libras,0.88037
DTW_D,LSST,0.547553
DTW_D,MotorImagery,0.521
DTW_D,NATOPS,0.82037
DTW_D,PenDigits,0.992777
DTW_D,PEMS-SF,0.77052
DTW_D,Phoneme,0.153872
DTW_D,RacketSports,0.85636
DTW_D,SelfRegulationSCP1,0.818089
DTW_D,SelfRegulationSCP2,0.536852
DTW_D,StandWalkJump,0.22
DTW_D,UWaveGestureLibrary,0.922812
DTW_I,ArticularyWordRecognition,0.943111
DTW_I,AtrialFibrilation,0.346667
DTW_I,BasicMotions,0.721667
DTW_I,Cricket,0.957407
DTW_I,DuckDuckGeese,0.292667
DTW_I,EigenWorms,0.441985
DTW_I,Epilepsy,0.67029
DTW_I,EthanolConcentration,0.306844
DTW_I,ERing,0.914198
DTW_I,FaceDetection,0.515342
DTW_I,FingerMovements,0.555
DTW_I,HandMovementDirection,0.266667
DTW_I,Handwriting,0.343333
DTW_I,Heartbeat,0.638049
DTW_I,Libras,0.786296
DTW_I,LSST,0.495742
DTW_I,MotorImagery,0.496333
DTW_I,NATOPS,0.760741
DTW_I,PenDigits,0.992176
DTW_I,PEMS-SF,0.802312
DTW_I,Phoneme,0.10178
DTW_I,RacketSports,0.816886
DTW_I,SelfRegulationSCP1,0.806257
DTW_I,SelfRegulationSCP2,0.484815
DTW_I,StandWalkJump,0.357778
DTW_I,UWaveGestureLibrary,0.875833
CBOSS,ArticularyWordRecognition,0.975556
CBOSS,AtrialFibrilation,0.304444
CBOSS,BasicMotions,0.9875
CBOSS,Cricket,0.975463
CBOSS,DuckDuckGeese,0.430667
CBOSS,EigenWorms,0.62799
CBOSS,Epilepsy,0.998309
CBOSS,EthanolConcentration,0.396198
CBOSS,ERing,0.844815
CBOSS,FaceDetection,0.523156
CBOSS,FingerMovements,0.510333
CBOSS,HandMovementDirection,0.288739
CBOSS,Handwriting,0.490863
CBOSS,Heartbeat,0.721463
CBOSS,Libras,0.852593
CBOSS,LSST,0.436226
CBOSS,MotorImagery,0.523667
CBOSS,NATOPS,0.824815
CBOSS,PenDigits,0.956127
CBOSS,PEMS-SF,0.965703
CBOSS,Phoneme,0.194254
CBOSS,RacketSports,0.889035
CBOSS,SelfRegulationSCP1,0.813311
CBOSS,SelfRegulationSCP2,0.500185
CBOSS,StandWalkJump,0.368889
CBOSS,UWaveGestureLibrary,0.86125
CIF,ArticularyWordRecognition,0.978889
CIF,AtrialFibrilation,0.251111
CIF,BasicMotions,0.9975
CIF,Cricket,0.983796
CIF,DuckDuckGeese,0.56
CIF,EigenWorms,0.903308
CIF,Epilepsy,0.983816
CIF,EthanolConcentration,0.728897
CIF,ERing,0.956543
CIF,FaceDetection,0.688886
CIF,FingerMovements,0.539
CIF,HandMovementDirection,0.522072
CIF,Handwriting,0.351294
CIF,Heartbeat,0.765203
CIF,Libras,0.916667
CIF,LSST,0.561706
CIF,MotorImagery,0.518
CIF,NATOPS,0.844074
CIF,PenDigits,0.98967
CIF,PEMS-SF,0.998459
CIF,Phoneme,0.265573
CIF,RacketSports,0.892982
CIF,SelfRegulationSCP1,0.859386
