"classifier_name","dataset_name","accuracy"
"Disjoint-CNN","ArticularyWordRecognition",0.98
"Disjoint-CNN","AtrialFibrilation",0.4
"Disjoint-CNN","BasicMotions",1
"Disjoint-CNN","Cricket",0.986111111
"Disjoint-CNN","DuckDuckGeese",0.62
"Disjoint-CNN","EigenWorms",0.450381679
"Disjoint-CNN","Epilepsy",1
"Disjoint-CNN","EthanolConcentration",0.269961977186312
"Disjoint-CNN","ERing",0.9638
"Disjoint-CNN","FaceDetection",0.547956867
"Disjoint-CNN","FingerMovements",0.57
"Disjoint-CNN","HandMovementDirection",0.337837837837838
"Disjoint-CNN","Handwriting",0.149411764705882
"Disjoint-CNN","Heartbeat",0.760975609756098
"Disjoint-CNN","Libras",0.961111111111111
"Disjoint-CNN","LSST",0.627737226277372
"Disjoint-CNN","MotorImagery",0.51
"Disjoint-CNN","NATOPS",0.983333333333333
"Disjoint-CNN","PenDigits",0.984848484848485
"Disjoint-CNN","PEMS-SF",0.705202312138728
"Disjoint-CNN","Phoneme",0.27348643
"Disjoint-CNN","RacketSports",0.875
"Disjoint-CNN","SelfRegulationSCP1",0.784982935153584
"Disjoint-CNN","SelfRegulationSCP2",0.561111111111111
"Disjoint-CNN","StandWalkJump",0.4
"Disjoint-CNN","UWaveGestureLibrary",0.90625
"FCN","ArticularyWordRecognition",0.993333333
"FCN","AtrialFibrilation",0.4
"FCN","BasicMotions",0.575
"FCN","Cricket",0.972222222
"FCN","DuckDuckGeese",0.54
"FCN","EigenWorms",0.167938931
"FCN","Epilepsy",0.992753623
"FCN","EthanolConcentration",0.25095057
"FCN","ERing",0.422222222
"FCN","FaceDetection",0.533200908
"FCN","FingerMovements",0.58
"FCN","HandMovementDirection",0.297297297
"FCN","Handwriting",0.041176471
"FCN","Heartbeat",0.526829268
"FCN","Libras",0.938888889
"FCN","LSST",0.499594485
"FCN","MotorImagery",0.47
"FCN","NATOPS",0.972222222
"FCN","PenDigits",0.992281304
"FCN","PEMS-SF",0.809248555
"FCN","Phoneme",0.280345959
"FCN","RacketSports",0.888157895
"FCN","SelfRegulationSCP1",0.819112628
"FCN","SelfRegulationSCP2",0.466666667
"FCN","StandWalkJump",0.333333333
"FCN","UWaveGestureLibrary",0.825
"ResNet","ArticularyWordRecognition",0.98
"ResNet","AtrialFibrilation",0.333333333
"ResNet","BasicMotions",1
"ResNet","Cricket",0.986111111
"ResNet","DuckDuckGeese",0.62
"ResNet","EigenWorms",0.175572519
"ResNet","Epilepsy",0.992753623
"ResNet","EthanolConcentration",0.258555133
"ResNet","ERing",0.855555556
"ResNet","FaceDetection",0.587684449
"ResNet","FingerMovements",0.57
"ResNet","HandMovementDirection",0.243243243
"ResNet","Handwriting",0.590588235
"ResNet","Heartbeat",0.687804878
"ResNet","Libras",0.944444444
"ResNet","LSST",0.619626926
"ResNet","MotorImagery",0.53
"ResNet","NATOPS",0.977777778
"ResNet","PenDigits",0.98542024
"ResNet","PEMS-SF",0.797687861
"ResNet","Phoneme",0.300029824
"ResNet","RacketSports",0.907894737
"ResNet","SelfRegulationSCP1",0.767918089
"ResNet","SelfRegulationSCP2",0.466666667
"ResNet","StandWalkJump",0.333333333
"ResNet","UWaveGestureLibrary",0.865625
"TapNet","ArticularyWordRecognition",0.971333
"TapNet","AtrialFibrilation",0.302222
"TapNet","BasicMotions",0.991667
"TapNet","Cricket",0.975
"TapNet","DuckDuckGeese",0.582667
"TapNet","EigenWorms",0.21
"TapNet","Epilepsy",0.96087
"TapNet","EthanolConcentration",0.289861
"TapNet","ERing",0.894568
"TapNet","FaceDetection",0.528698
"TapNet","FingerMovements",0.513333
"TapNet","HandMovementDirection",0.323423
"TapNet","Handwriting",0.329529
"TapNet","Heartbeat",0.739675
"TapNet","Libras",0.836296
"TapNet","LSST",0.463314
"TapNet","MotorImagery",0.59
"TapNet","NATOPS",0.902963
"TapNet","PenDigits",0.936507
"TapNet","PEMS-SF",0.7921
"TapNet","Phoneme",0.175
"TapNet","RacketSports",0.858114
"TapNet","SelfRegulationSCP1",0.854
"TapNet","SelfRegulationSCP2",0.53463
"TapNet","StandWalkJump",0.351111
"TapNet","UWaveGestureLibrary",0.883854
"InceptionTime","ArticularyWordRecognition",0.983333333333333
"InceptionTime","AtrialFibrilation",0.2
"InceptionTime","BasicMotions",1
"InceptionTime","Cricket",0.986111111111111
"InceptionTime","DuckDuckGeese",0.64
"InceptionTime","EigenWorms",0.11
"InceptionTime","Epilepsy",0.985507246376812
"InceptionTime","EthanolConcentration",0.231939163498099
"InceptionTime","ERing",0.877777777777778
"InceptionTime","FaceDetection",0.672247446083995
"InceptionTime","FingerMovements",0.56
"InceptionTime","HandMovementDirection",0.364864864864865
"InceptionTime","Handwriting",0.642352941176471
"InceptionTime","Heartbeat",0.580487804878049
"InceptionTime","Libras",0.888888888888889
"InceptionTime","LSST",0.612327656123277
"InceptionTime","MotorImagery",0.53
"InceptionTime","NATOPS",0.961111111111111
"InceptionTime","PenDigits",0.987707261292167
"InceptionTime","PEMS-SF",0.745664739884393
"InceptionTime","Phoneme",0.366835669549657
"InceptionTime","RacketSports",0.881578947368421
"InceptionTime","SelfRegulationSCP1",0.839590443686007
"InceptionTime","SelfRegulationSCP2",0.472222222222222
"InceptionTime","StandWalkJump",0.4
"InceptionTime","UWaveGestureLibrary",0.878125
"MLSTM-FCN","ArticularyWordRecognition",0.957
"MLSTM-FCN","AtrialFibrilation",0.267
"MLSTM-FCN","BasicMotions",0.955
"MLSTM-FCN","Cricket",0.917
"MLSTM-FCN","DuckDuckGeese",0.46
"MLSTM-FCN","EigenWorms",0.504
"MLSTM-FCN","Epilepsy",0.732
"MLSTM-FCN","EthanolConcentration",0.373
"MLSTM-FCN","ERing",0.872592593
"MLSTM-FCN","FaceDetection",0.55
"MLSTM-FCN","FingerMovements",0.55
"MLSTM-FCN","HandMovementDirection",0.365
"MLSTM-FCN","Handwriting",0.309
"MLSTM-FCN","Heartbeat",0.663
"MLSTM-FCN","Libras",0.853
"MLSTM-FCN","LSST",0.528
"MLSTM-FCN","MotorImagery",0.51
"MLSTM-FCN","NATOPS",0.889
"MLSTM-FCN","PenDigits",0.978
"MLSTM-FCN","PEMS-SF",0.746
"MLSTM-FCN","Phoneme",0.11
"MLSTM-FCN","RacketSports",0.856
"MLSTM-FCN","SelfRegulationSCP1",0.84
"MLSTM-FCN","SelfRegulationSCP2",0.506
"MLSTM-FCN","StandWalkJump",0.267
"MLSTM-FCN","UWaveGestureLibrary",0.859
"MC-DCNN","ArticularyWordRecognition",0.04
"MC-DCNN","AtrialFibrilation",0.333333333333333
"MC-DCNN","BasicMotions",0.925
"MC-DCNN","Cricket",0.083333333333333
"MC-DCNN","DuckDuckGeese",0.22
"MC-DCNN","EigenWorms",0.419847328244275
"MC-DCNN","Epilepsy",0.847826086956522
"MC-DCNN","EthanolConcentration",0.26615969581749
"MC-DCNN","ERing",0.911111111111111
"MC-DCNN","FaceDetection",0.5
"MC-DCNN","FingerMovements",0.49
"MC-DCNN","HandMovementDirection",0.540540540540541
"MC-DCNN","Handwriting",0.257647058823529
"MC-DCNN","Heartbeat",0.721951219512195
"MC-DCNN","Libras",0.711111111111111
"MC-DCNN","LSST",0.495944849959449
"MC-DCNN","MotorImagery",0.45
"MC-DCNN","NATOPS",0.905555555555556
"MC-DCNN","PenDigits",0.809248555
"MC-DCNN","PEMS-SF",0.150289017341041
"MC-DCNN","Phoneme",0.025648672830301
"MC-DCNN","RacketSports",0.822368421052632
"MC-DCNN","SelfRegulationSCP1",0.873720136518771
"MC-DCNN","SelfRegulationSCP2",0.466666666666667
"MC-DCNN","StandWalkJump",0.333333333333333
"MC-DCNN","UWaveGestureLibrary",0.125
