"dataset_name","Disjoint-CNN","ROCKET"
"ArticularyWordRecognition",0.984333333,0.995555556
"AtrialFibrilation",0.374712644,0.248888889
"BasicMotions",1,0.99
"Cricket",0.999074074,1
"DuckDuckGeese",0.644,0.596
"EigenWorms",0.593384224,0.906870229
"Epilepsy",0.988647343,0.990821256
"EthanolConcentration",0.309252218,0.446768061
"ERing",0.96382716,0.980493827
"FaceDetection",0.566628831,0.639784336
"FingerMovements",0.603666667,0.552666667
"HandMovementDirection",0.324324324,0.445945946
"Handwriting",0.320823529,0.566666667
"Heartbeat",0.759349593,0.717560976
"Libras",0.916111111,0.906111111
"LSST",0.546904569,0.63153555
"MotorImagery",0.569333333,0.492
"NATOPS",0.966666667,0.88537037
"PenDigits",0.994644559,0.981646655
"PEMS-SF",0.81734104,0.749132948
"Phoneme",0.282085694,0.310647182
"RacketSports",0.846052632,0.914473684
"SelfRegulationSCP1",0.903299204,0.86552901
"SelfRegulationSCP2",0.537592593,0.503333333
"StandWalkJump",0.435555556,0.455555556
"UWaveGestureLibrary",0.924166667,0.936875
