classifier_name,dataset_name,accuracy
Disjoint-CNN,ArticularyWordRecognition,0.984333333
Disjoint-CNN,AtrialFibrilation,0.374712644
Disjoint-CNN,BasicMotions,1
Disjoint-CNN,Cricket,0.999074074
Disjoint-CNN,DuckDuckGeese,0.644
Disjoint-CNN,EigenWorms,0.593384224
Disjoint-CNN,Epilepsy,0.988647343
Disjoint-CNN,EthanolConcentration,0.309252218
Disjoint-CNN,ERing,0.96382716
Disjoint-CNN,FaceDetection,0.566628831
Disjoint-CNN,FingerMovements,0.603666667
Disjoint-CNN,HandMovementDirection,0.324324324
Disjoint-CNN,Handwriting,0.320823529
Disjoint-CNN,Heartbeat,0.759349593
Disjoint-CNN,Libras,0.916111111
Disjoint-CNN,LSST,0.546904569
Disjoint-CNN,MotorImagery,0.569333333
Disjoint-CNN,NATOPS,0.966666667
Disjoint-CNN,PenDigits,0.994644559
Disjoint-CNN,PEMS-SF,0.81734104
Disjoint-CNN,Phoneme,0.282085694
Disjoint-CNN,RacketSports,0.846052632
Disjoint-CNN,SelfRegulationSCP1,0.903299204
Disjoint-CNN,SelfRegulationSCP2,0.537592593
Disjoint-CNN,StandWalkJump,0.435555556
Disjoint-CNN,UWaveGestureLibrary,0.924166667
Rocket,ArticularyWordRecognition,0.995555556
Rocket,AtrialFibrilation,0.248888889
Rocket,BasicMotions,0.99
Rocket,Cricket,1
Rocket,DuckDuckGeese,0.596
Rocket,EigenWorms,0.906870229
Rocket,Epilepsy,0.990821256
Rocket,EthanolConcentration,0.446768061
Rocket,ERing,0.980493827
Rocket,FaceDetection,0.639784336
Rocket,FingerMovements,0.552666667
Rocket,HandMovementDirection,0.445945946
Rocket,Handwriting,0.566666667
Rocket,Heartbeat,0.717560976
Rocket,Libras,0.906111111
Rocket,LSST,0.63153555
Rocket,MotorImagery,0.492
Rocket,NATOPS,0.88537037
Rocket,PenDigits,0.981646655
Rocket,PEMS-SF,0.749132948
Rocket,Phoneme,0.310647182
Rocket,RacketSports,0.914473684
Rocket,SelfRegulationSCP1,0.86552901
Rocket,SelfRegulationSCP2,0.503333333
Rocket,StandWalkJump,0.455555556
Rocket,UWaveGestureLibrary,0.936875
InceptionTime,ArticularyWordRecognition,0.991
