dataset_name,Temporal,Spatial
LSST,0.502838605028386,0.433901054339011
EigenWorms,0.557251908396947,0.221374045801527
FingerMovements,0.47,0.48
UWaveGestureLibrary,0.528125,0.6375
Heartbeat,0.721951219512195,0.712195121951219
Cricket,0.75,0.986111111111111
Handwriting,0.078823529411765,0.087058823529412
ArticularyWordRecognition,0.5,0.923333333333333
SelfRegulationSCP2,0.566666666666667,0.55
NATOPS,0.655555555555556,0.838888888888889
PhonemeSpectra,0.265732180137191,0.120489114226066
PenDigits,0.973413379073756,0.849342481417953
RacketSports,0.631578947368421,0.756578947368421
SelfRegulationSCP1,0.74061433447099,0.897610921501707
AtrialFibrillation,0.266666666666667,0.4
Epilepsy,0.992753623188406,0.956521739130435
MotorImagery,0.63,0.52
BasicMotions,0.625,0.525
Libras,0.627777777777778,0.788888888888889
ERing,0.744444444444444,0.096296296296296
PEMS-SF,0.543352601156069,0.751445086705202
EthanolConcentration,0.288973384030418,0.300380228136882
FaceDetection,0.552780930760499,0.525539160045403
HandMovementDirection,0.283783783783784,0.310810810810811
StandWalkJump,0.333333333333333,0.4
DuckDuckGeese,0.2,0.62
