"classifier_name","dataset_name","accuracy"
"Disjoint-CNN","ArticularyWordRecognition",0.98
"Disjoint-CNN","AtrialFibrilation",0.4
"Disjoint-CNN","BasicMotions",0.7
"Disjoint-CNN","Cricket",0.972222222222222
"Disjoint-CNN","DuckDuckGeese",0.6
"Disjoint-CNN","EigenWorms",0.450381679
"Disjoint-CNN","Epilepsy",1
"Disjoint-CNN","EthanolConcentration",0.269961977186312
"Disjoint-CNN","ERing",0.551851851851852
"Disjoint-CNN","FaceDetection",0.547956867
"Disjoint-CNN","FingerMovements",0.57
"Disjoint-CNN","HandMovementDirection",0.337837837837838
"Disjoint-CNN","Handwriting",0.149411764705882
"Disjoint-CNN","Heartbeat",0.760975609756098
"Disjoint-CNN","Libras",0.961111111111111
"Disjoint-CNN","LSST",0.627737226277372
"Disjoint-CNN","MotorImagery",0.51
"Disjoint-CNN","NATOPS",0.983333333333333
"Disjoint-CNN","PenDigits",0.984848484848485
"Disjoint-CNN","PEMS-SF",0.705202312138728
"Disjoint-CNN","Phoneme",0.27348643
"Disjoint-CNN","RacketSports",0.875
"Disjoint-CNN","SelfRegulationSCP1",0.784982935153584
"Disjoint-CNN","SelfRegulationSCP2",0.561111111111111
"Disjoint-CNN","StandWalkJump",0.4
"Disjoint-CNN","UWaveGestureLibrary",0.90625
"ResNet","ArticularyWordRecognition",0.98666667
"ResNet","AtrialFibrilation",0.33333333
"ResNet","BasicMotions",0.6
"ResNet","Cricket",0.98611111
"ResNet","DuckDuckGeese",0.58
"ResNet","EigenWorms",0.16793893
"ResNet","Epilepsy",0.99275362
"ResNet","EthanolConcentration",0.22053232
"ResNet","ERing",0.65925926
"ResNet","FaceDetection",0.54880817
"ResNet","FingerMovements",0.55
"ResNet","HandMovementDirection",0.37837838
"ResNet","Handwriting",0.04941176
"ResNet","Heartbeat",0.5804878
"ResNet","Libras",0.95555556
"ResNet","LSST",0.51297648
"ResNet","MotorImagery",0.57
"ResNet","NATOPS",0.97222222
"ResNet","PenDigits",0.990852
"ResNet","PEMS-SF",0.78034682
"ResNet","Phoneme",0.30450343
"ResNet","RacketSports",0.92105263
"ResNet","SelfRegulationSCP1",0.7883959
"ResNet","SelfRegulationSCP2",0.47777778
"ResNet","StandWalkJump",0.33333333
"ResNet","UWaveGestureLibrary",0.8375
"Disjoint-FCN","ArticularyWordRecognition",0.986666667
"Disjoint-FCN","AtrialFibrilation",0.6
"Disjoint-FCN","BasicMotions",0.05
"Disjoint-FCN","Cricket",0.986111111
"Disjoint-FCN","DuckDuckGeese",0.56
"Disjoint-FCN","EigenWorms",0.167938931
"Disjoint-FCN","Epilepsy",1
"Disjoint-FCN","EthanolConcentration",0.25095057
"Disjoint-FCN","ERing",0.222222222
"Disjoint-FCN","FaceDetection",0.546254257
"Disjoint-FCN","FingerMovements",0.6
"Disjoint-FCN","HandMovementDirection",0.310810811
"Disjoint-FCN","Handwriting",
"Disjoint-FCN","Heartbeat",0.76097561
"Disjoint-FCN","Libras",0.966666667
"Disjoint-FCN","LSST",0.579075426
"Disjoint-FCN","MotorImagery",0.47
"Disjoint-FCN","NATOPS",0.961111111
"Disjoint-FCN","PenDigits",0.98570611
"Disjoint-FCN","PEMS-SF",0.745665
"Disjoint-FCN","Phoneme",0.280345959
"Disjoint-FCN","RacketSports",0.86842105
"Disjoint-FCN","SelfRegulationSCP1",0.784982935
"Disjoint-FCN","SelfRegulationSCP2",0.572222222
"Disjoint-FCN","StandWalkJump",0.2
"Disjoint-FCN","UWaveGestureLibrary",0.909375
"Disjoint-ResNet","ArticularyWordRecognition",0.983333
"Disjoint-ResNet","AtrialFibrilation",0.4
"Disjoint-ResNet","BasicMotions",0.975
"Disjoint-ResNet","Cricket",0.986111
"Disjoint-ResNet","DuckDuckGeese",0.5
"Disjoint-ResNet","EigenWorms",0.175572519
"Disjoint-ResNet","Epilepsy",1
"Disjoint-ResNet","EthanolConcentration",0.262357
"Disjoint-ResNet","ERing",0.392593
"Disjoint-ResNet","FaceDetection",0.551078
"Disjoint-ResNet","FingerMovements",0.55
"Disjoint-ResNet","HandMovementDirection",0.337838
"Disjoint-ResNet","Handwriting",0.088235
"Disjoint-ResNet","Heartbeat",0.760976
"Disjoint-ResNet","Libras",0.961111
"Disjoint-ResNet","LSST",0.639092
"Disjoint-ResNet","MotorImagery",0.47
"Disjoint-ResNet","NATOPS",0.95
"Disjoint-ResNet","PenDigits",0.986564
"Disjoint-ResNet","PEMS-SF",0.878612
"Disjoint-ResNet","Phoneme",0.301223
"Disjoint-ResNet","RacketSports",0.907895
"Disjoint-ResNet","SelfRegulationSCP1",0.774744
"Disjoint-ResNet","SelfRegulationSCP2",0.438889
"Disjoint-ResNet","StandWalkJump",0.333333
"Disjoint-ResNet","UWaveGestureLibrary",0.915625
"FCN","ArticularyWordRecognition",0.993333333
"FCN","AtrialFibrilation",0.4
"FCN","BasicMotions",0.575
"FCN","Cricket",0.972222222
"FCN","DuckDuckGeese",0.54
"FCN","EigenWorms",0.167938931
"FCN","Epilepsy",0.992753623
"FCN","EthanolConcentration",0.25095057
"FCN","ERing",0.422222222
"FCN","FaceDetection",0.533200908
"FCN","FingerMovements",0.58
"FCN","HandMovementDirection",0.297297297
"FCN","Handwriting",0.041176471
"FCN","Heartbeat",0.526829268
"FCN","Libras",0.938888889
"FCN","LSST",0.499594485
"FCN","MotorImagery",0.47
"FCN","NATOPS",0.972222222
"FCN","PenDigits",0.992281304
"FCN","PEMS-SF",0.809248555
"FCN","Phoneme",0.280345959
"FCN","RacketSports",0.888157895
"FCN","SelfRegulationSCP1",0.819112628
"FCN","SelfRegulationSCP2",0.466666667
"FCN","StandWalkJump",0.333333333
"FCN","UWaveGestureLibrary",0.825
